Timestamp;US1Value;US2Value
24.04.2021 00:03;261;643
24.04.2021 00:08;605;628
24.04.2021 00:13;297;629
24.04.2021 00:18;297;612
24.04.2021 00:23;297;608
24.04.2021 00:28;297;605
24.04.2021 00:33;297;603
24.04.2021 00:38;297;602
24.04.2021 00:43;297;601
24.04.2021 00:48;297;600
24.04.2021 00:53;472;600
24.04.2021 00:58;447;681
24.04.2021 01:03;258;705
24.04.2021 01:08;261;669
24.04.2021 01:13;261;660
24.04.2021 01:18;261;655
24.04.2021 01:23;261;653
24.04.2021 01:28;261;652
24.04.2021 01:33;261;650
24.04.2021 01:38;261;650
24.04.2021 01:43;261;649
24.04.2021 01:48;261;648
24.04.2021 01:53;261;646
24.04.2021 01:58;261;645
24.04.2021 02:03;261;645
24.04.2021 02:08;261;645
24.04.2021 02:13;261;644
24.04.2021 02:18;261;643
24.04.2021 02:23;261;643
24.04.2021 02:28;261;643
24.04.2021 02:33;261;643
24.04.2021 02:38;261;642
24.04.2021 02:43;261;642
24.04.2021 02:48;261;641
24.04.2021 02:53;261;641
24.04.2021 02:58;261;641
24.04.2021 03:03;261;640
24.04.2021 03:08;261;640
24.04.2021 03:13;260;639
24.04.2021 03:18;260;639
24.04.2021 03:23;260;639
24.04.2021 03:28;260;639
24.04.2021 03:33;261;638
24.04.2021 03:38;260;638
24.04.2021 03:43;260;638
24.04.2021 03:48;260;637
24.04.2021 03:53;260;637
24.04.2021 03:58;439;637
24.04.2021 04:03;241;707
24.04.2021 04:08;580;656
24.04.2021 04:13;291;634
24.04.2021 04:18;291;616
24.04.2021 04:23;291;611
24.04.2021 04:28;291;609
24.04.2021 04:33;291;607
24.04.2021 04:38;291;605
24.04.2021 04:43;291;605
24.04.2021 04:48;291;604
24.04.2021 04:53;291;603
24.04.2021 04:58;291;603
24.04.2021 05:03;291;602
24.04.2021 05:08;291;601
24.04.2021 05:13;291;601
24.04.2021 05:18;291;600
24.04.2021 05:23;291;600
24.04.2021 05:28;291;600
24.04.2021 05:33;291;598
24.04.2021 05:38;291;598
24.04.2021 05:43;291;598
24.04.2021 05:48;291;597
24.04.2021 05:53;291;597
24.04.2021 05:58;291;596
24.04.2021 06:03;291;596
24.04.2021 06:08;291;596
24.04.2021 06:13;291;596
24.04.2021 06:18;291;596
24.04.2021 06:23;291;595
24.04.2021 06:28;291;595
24.04.2021 06:33;291;595
24.04.2021 06:38;291;594
24.04.2021 06:43;291;594
24.04.2021 06:48;291;594
24.04.2021 06:53;291;594
24.04.2021 06:58;473;594
24.04.2021 07:03;247;692
24.04.2021 07:08;248;661
24.04.2021 07:13;248;654
24.04.2021 07:18;248;651
24.04.2021 07:23;248;650
24.04.2021 07:28;248;649
24.04.2021 07:33;249;648
24.04.2021 07:38;248;648
24.04.2021 07:43;249;648
24.04.2021 07:48;248;648
24.04.2021 07:53;249;647
24.04.2021 07:58;249;647
24.04.2021 08:03;249;646
24.04.2021 08:08;591;631
24.04.2021 08:13;280;636
24.04.2021 08:18;281;618
24.04.2021 08:23;281;614
24.04.2021 08:28;281;612
24.04.2021 08:33;281;611
24.04.2021 08:38;281;610
24.04.2021 08:43;281;609
24.04.2021 08:48;281;608
24.04.2021 08:53;281;608
24.04.2021 08:58;281;608
24.04.2021 09:03;281;607
24.04.2021 09:08;281;607
24.04.2021 09:13;281;605
24.04.2021 09:18;282;605
24.04.2021 09:23;282;605
24.04.2021 09:28;282;605
24.04.2021 09:33;282;605
24.04.2021 09:38;282;604
24.04.2021 09:43;282;604
24.04.2021 09:48;282;604
24.04.2021 09:53;282;603
24.04.2021 09:58;282;603
24.04.2021 10:03;282;603
24.04.2021 10:08;282;603
24.04.2021 10:13;282;603
24.04.2021 10:18;282;602
24.04.2021 10:23;282;602
24.04.2021 10:28;282;602
24.04.2021 10:33;282;601
24.04.2021 10:38;282;601
24.04.2021 10:43;282;601
24.04.2021 10:48;282;601
24.04.2021 10:53;282;601
24.04.2021 10:58;282;600
24.04.2021 11:03;282;600
24.04.2021 11:08;282;600
24.04.2021 11:13;282;600
24.04.2021 11:18;282;600
24.04.2021 11:23;282;600
24.04.2021 11:28;282;600
24.04.2021 11:33;282;599
24.04.2021 11:38;282;599
24.04.2021 11:43;282;599
24.04.2021 11:48;282;599
24.04.2021 11:53;282;599
24.04.2021 11:58;282;598
24.04.2021 12:03;282;598
24.04.2021 12:08;282;598
24.04.2021 12:13;282;598
24.04.2021 12:18;282;598
24.04.2021 12:23;282;598
24.04.2021 12:28;282;598
24.04.2021 12:33;282;598
24.04.2021 12:38;282;598
24.04.2021 12:43;282;598
24.04.2021 12:48;282;598
24.04.2021 12:53;282;598
24.04.2021 12:58;282;598
24.04.2021 13:03;282;598
24.04.2021 13:08;282;597
24.04.2021 13:13;282;597
24.04.2021 13:18;282;597
24.04.2021 13:23;282;597
24.04.2021 13:28;282;597
24.04.2021 13:33;282;596
24.04.2021 13:38;282;596
24.04.2021 13:43;282;596
24.04.2021 13:48;282;596
24.04.2021 13:53;282;596
24.04.2021 13:58;282;596
24.04.2021 14:03;282;596
24.04.2021 14:08;282;596
24.04.2021 14:13;282;596
24.04.2021 14:18;282;596
24.04.2021 14:23;282;595
24.04.2021 14:28;282;595
24.04.2021 14:33;282;595
24.04.2021 14:38;282;595
24.04.2021 14:43;282;595
24.04.2021 14:48;283;595
24.04.2021 14:53;283;595
24.04.2021 14:58;283;595
24.04.2021 15:03;283;594
24.04.2021 15:08;283;594
24.04.2021 15:13;283;594
24.04.2021 15:18;283;594
24.04.2021 15:23;283;594
24.04.2021 15:28;283;594
24.04.2021 15:33;283;593
24.04.2021 15:38;283;593
24.04.2021 15:43;283;593
24.04.2021 15:48;283;593
24.04.2021 15:53;464;592
24.04.2021 15:58;428;689
24.04.2021 16:03;256;680
24.04.2021 16:08;584;656
24.04.2021 16:13;281;643
24.04.2021 16:18;282;625
24.04.2021 16:23;282;620
24.04.2021 16:28;281;617
24.04.2021 16:33;281;615
24.04.2021 16:38;282;614
24.04.2021 16:43;282;612
24.04.2021 16:48;282;611
24.04.2021 16:53;282;610
24.04.2021 16:58;282;610
24.04.2021 17:03;282;609
24.04.2021 17:08;282;608
24.04.2021 17:13;282;608
24.04.2021 17:18;282;607
24.04.2021 17:23;282;605
24.04.2021 17:28;282;605
24.04.2021 17:33;282;604
24.04.2021 17:38;282;603
24.04.2021 17:43;282;603
24.04.2021 17:48;282;602
24.04.2021 17:53;282;601
24.04.2021 17:58;282;601
24.04.2021 18:03;282;600
24.04.2021 18:08;282;600
24.04.2021 18:13;282;599
24.04.2021 18:18;282;599
24.04.2021 18:23;282;600
24.04.2021 18:28;282;599
24.04.2021 18:33;282;599
24.04.2021 18:38;282;599
24.04.2021 18:43;282;598
24.04.2021 18:48;282;598
24.04.2021 18:53;461;597
24.04.2021 18:58;441;675
24.04.2021 19:03;247;700
24.04.2021 19:08;247;664
24.04.2021 19:13;247;655
24.04.2021 19:18;247;652
24.04.2021 19:23;247;649
24.04.2021 19:28;247;648
24.04.2021 19:33;247;646
24.04.2021 19:38;247;645
24.04.2021 19:43;247;644
24.04.2021 19:48;247;643
24.04.2021 19:53;247;643
24.04.2021 19:58;247;641
24.04.2021 20:03;247;641
24.04.2021 20:08;595;619
24.04.2021 20:13;275;636
24.04.2021 20:18;275;618
24.04.2021 20:23;275;614
24.04.2021 20:28;275;611
24.04.2021 20:33;275;610
