Datum,Uhrzeit,Abstand_Sensor_1,Abstand_Sensor_2,Wasserhoehe_1,Wasserhoehe_2,Wassermenge_1,Wassermenge_2
2023-06-02,13:37:16,389,566,13,46,6.991985,24.91544
2023-06-02,13:42:16,390,567,14,47,6.991985,24.91544
2023-06-02,13:47:16,391,568,15,48,6.991985,24.91544
2023-06-02,13:52:16,392,569,16,49,6.991985,24.91544
2023-06-02,13:57:16,393,570,17,50,6.991985,24.91544
2023-06-02,14:02:16,394,571,18,51,6.991985,24.91544
2023-06-02,14:07:16,395,572,19,52,6.991985,24.91544
2023-06-02,14:12:16,396,573,20,53,6.991985,24.91544
2023-06-02,14:17:16,397,574,21,54,6.991985,24.91544
2023-06-02,14:22:16,398,575,22,55,6.991985,24.91544
